order_id;channel;order_date;notes;selling_price;quantity;Revenue
;shopee  ;February 9, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;February 23, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 1, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 13, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 20, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 23, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 22, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 30, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;March 29, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 9, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 18, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 20, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 18, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 16, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;April 23, 2025;;IDR 612,000.00;1;IDR 612,000.00
;offline  ;April 24, 2025;;IDR 612,000.00;1;IDR 612,000.00
;tokopedia  ;April 30, 2025;;IDR 612,000.00;1;IDR 612,000.00
;tokopedia  ;May 1, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;May 3, 2025;;IDR 612,000.00;1;IDR 612,000.00
;shopee  ;May 5, 2025;;IDR 612,000.00;1;IDR 612,000.00
;tokopedia  ;May 6, 2025;;IDR 750,000.00;1;IDR 750,000.00
;shopee  ;May 7, 2025;;IDR 766,000.00;1;IDR 766,000.00
;tokopedia  ;May 10, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 12, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 13, 2025;;IDR 750,000.00;1;IDR 750,000.00
;shopee  ;May 15, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 15, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 15, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 18, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 19, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 21, 2025;;IDR 750,000.00;1;IDR 750,000.00
;tokopedia  ;May 22, 2025;;IDR 750,000.00;1;IDR 750,000.00
